name
Chien-Shiung Wu
Florence R. Sabin
Jane Ellen Harrison
Dorothy Hansine Andersen
Rózsa Péter
Annie Scott Dill Maunder
Emma P. Carr
Maria Goeppert Mayer
Margaret Lindsay Huggins
Mary Somerville
Virginia Henderson
Patty Hill
Elena Shtaerman
Zinaida Tusnolobova-Marchenko
Faustina Pignatelli
Zehra Shahtakhtinskaya
Olympia Fulvia Morata
Dorothy Reed Mendenhall
Valeria Golubtsova
Militsa Zyornova
Agnes Joaquim
Anna Heer
Anna Astakhova
Zarifa Budagova
Caterina Scarpellini
Laura Conti
Sarah Schenirer
Margaret Bryan
Sophia Getzowa
Elisabeth Schiemann
Helene Bresslau
Eliza Gamble
Alice Lardé de Venturino
Elizabeth Binmore
Anna Goldfeder
Dorothy Nickerson
Edith Quimby
Ann Baynard
Yevgenia Pobedimova
Mamlakat Nakhangova
Mariya Borodayevskaya
Larisa Popugaeva
Kin Yamei
Zeng Zhaoyu
Marie Krogh
Marie Pasteur
Fakhr-un-Nisa
Elizaveta Lastochkina
Mary Verghese
Stefania Skwarczyńska
Julia Anna Gardner
Fatma Süleymanova
Jennie Howard
Rudolphina Menzel
Khalida Mamanova
Marjorie Kendig
Elizabeth Bragg
Mary Elizabeth Simpson
Winifred Elsie Brenchley
Gladys Lounsbury Hobby
Sona Valikhan
Tatiana Birich
Dora Jacobsohn
Yekaterina Ankinovich
Harriet Richardson
Ruth Bleier
Doris Huestis Speirs
Eliza Walker
Margaret Fishenden
Lilian G. Lutter
Annie M. Knott
Dorothy Hollingsworth
Isabella Leitch
Larisa Zhadova
María Michelsen de López
Tetiana Buhaiko
Margarit Ter-Minasyan
Gloria Hollister
Razia J. Rahimtoola
Lydia Roberts
Edith Helen Paull
Christian Shaw
Wendy Campbell-Purdie
Willie Hobbs Moore
Grace Eldering
Vida Latham
Evelyn Stocking Crosslin
Virginia Pereira Álvarez
Jansje Gretha Schuiringa
Dorothea von Solms-Lich
Dorothea von Solms-Lich
Manuela Espejo
Esther Greisheimer
Mary Dilys Glynne
Ora Mendelsohn Rosen
Frieda Fraser
Dahma' bint Yahya
Vera Gromova
Flora Rose
Ellen Savage
Lilavati Singh
Mercy B. Jackson
Carrie Everson
Catherine J. Personius
Cynthia Westcott
Carol Blanche Cotton
Irina Mansurova
Amy Barrington
Signe Brunnström
Catherine Steele
Afshan Gadimbeyova
Celia Brañas
Alice McLaren
Clotilde-Camille Deflandre
Serafima Panteleeva
Anna Johnson Julian
Mary Gage Day
Mary Sheridan
Louise L. Sloan
Effie Alberta Read
Maria de Betancourt y Molina
Edith Klemperer
Yolanda Serrano
Mary Andross
Mary Collson
Ruth Barrett Phelps
