name
Chien-Shiung Wu
Florence R. Sabin
Jane Ellen Harrison
Dorothy Hansine Andersen
Rózsa Péter
Maria Goeppert Mayer
Margaret Lindsay Huggins
Mary Somerville
Patty Hill
Olympia Fulvia Morata
Emmy Noether
Sophie Germain
Marie Curie
Agnes Pockels
Émilie du Châtelet
Rosalind Franklin
Dorothy Hodgkin
Irène Joliot-Curie
Grace Hopper
Hertha Ayrton
Katharine Burr Blodgett
Lise Meitner
Maria Goeppert Mayer
Chien-Shiung Wu
Margaret Oakley Dayhoff
Grete Hermann
Mileva Marić
Ida Noddack
Laura Bassi
Pelageya Polubarinova-Kochina
Harriet Brooks
Annie Jump Cannon
Margaret Lindsay Huggins
"Margaret Cavendish, Duchess of Newcastle-upon-Tyne"
Marguerite Perey
Charlotte Moore Sitterly
Mary Somerville
Sarah Frances Whiting
Kirstine Meyer
Jadwiga Falkowska
Ruby Payne-Scott
Marion Ross
Grete Hermann
Mileva Marić
Caroline Herschel
Ruth Moufang
Olga Taussky-Todd
Maria Gaetana Agnesi
Nicole-Reine Lepaute
Maria Reiche
Agnes Meyer Driscoll
Elizebeth Smith Friedman
Mary Somerville
Emmy Noether
Sophie Germain
Ada Lovelace
Émilie du Châtelet
Grace Hopper
Hypatia
Hertha Ayrton
Philippa Fawcett
Alicia Boole Stott
Gertrude Mary Cox
Grace Chisholm Young
Mary Cartwright
Helena Rasiowa
Rózsa Péter
Jessie MacWilliams
Pelageya Polubarinova-Kochina
Laura Bassi
Sheila Scott Macintyre
Dorothy Maud Wrinch
Louise Hay
Mary Everest Boole
Ida Rhodes
Angeline Stickney
Dorothea Beale
Gertrude Blanch
Elizabeth Williams
Josephine Baker
Lydia Litvyak
Manuela Sáenz
Hanna Reitsch
Sarus
Kara Hultgreen
Dorothy Frooks
Lenah Higbee
Lise Meitner
Joy Bright Hancock
Henrietta Barnett
Mildred H. McAfee
Marie Curie
Agnes Pockels
Lucy Weston Pickett
Ellen Swallow Richards
Karen Wetterhahn
Hazel Bishop
Rosalind Franklin
Rachel Fuller Brown
Dorothy Hodgkin
Irène Joliot-Curie
Clara Immerwahr
Kathleen Lonsdale
Gertrude B. Elion
Katharine Burr Blodgett
Maud Menten
Ida Noddack
Gerty Cori
Marguerite Perey
Karen Silkwood
Lina Stern
Margaret Oakley Dayhoff
Dorothy Maud Wrinch
