name
Emmanuel Swedenborg
Chauncey H. Griffith
Vladimir A. Obruchev
Gustaf de Laval
Nicholas Mercator
Holger Thiele
Maurice Bucaille
Pierre Charles Le Monnier
Edmond Laguerre
William Astbury
Benjamin Robins
Jean-Étienne Montucla
Robert Puton
Alexander Friedmann
Christian Goldbach
Sergey Zhuk
Paul-Émile Lecoq de Boisbaudran
Palladiy
Palladiy
József Marek
Pierre Paul Déhérain
Yang Yunsong
Giancarlo Rastelli
Innocenzo Manzetti
Józef Kosacki
Nikolai Nadezhdin
T. Keith Glennan
Louis de Jaucourt
Francesco Faà di Bruno
Otto Julius Zobel
Per Teodor Cleve
Pierre Varignon
John Wilkins
Galileo Galilei
Mikhail Tikhonravov
Stamen Grigorov
Joseph-Nicolas Delisle
Thomas Addison
Robert Fisher Tomes
Frank Rattray Lillie
Edward Augustus Bond
Delfino Codazzi
Joseph von Petrasch
Joseph von Petrasch
Walter Charles Langer
John Gamble Kirkwood
John Gamble Kirkwood
Daniel Elmer Salmon
Joseph Liouville
Carl Curman
Paul Kaznelson
Abraham Flexner
Hanoch Albeck
Johann Andreas Schubert
Joseph Wharton
Gabriel Jars
Paweł Strzelecki
Raoul Bensaude
Song Ci
Rostislav Alexeyev
James Ewing
Armand James Quick
Johann Bernoulli
Hiram Bingham III
Felice Casorati
Antonio Sánchez de Bustamante y Sirven
Jean-Baptiste Van Mons
Lionel Logue
Alexandre-Théophile Vandermonde
Edmund Clifton Stoner
Philipp Ludwig von Seidel
Leonardo da Vinci
Alexei Fedchenko
Philip Levine
Thomas Addis
Andrey A. Fedorov
Fausto Veranzio
Charles Willson Peale
Nevil Maskelyne
Bruno Pontecorvo
Gaspard de Prony
Nikolai Kibalchich
Charles Edward Merriam
Matus Bisnovat
Cesare Ripa
Arvo Ylppö
Jakub Karol Parnas
Henry Seely White
Choi Ik-hyun
Auguste Ambroise Tardieu
Julius Petersen
Axel Fredrik Cronstedt
Leonhard Euler
Horace Wells
Horace Wells
Thomas Adams
John Gorrie
Christiaan Snouck
Andrzej Frycz Modrzewski
John Locke
Viktor Makeyev
Émile Coué
Thomas Sprat
Étienne Pariset
Étienne-Jules Marey
Paul Séjourné
Hunayn ibn Ishaq
'Adud al-Dawla
Orville Wright
Isaac Beeckman
Gleb Kotelnikov
Frans van Schooten
Hamao Umezawa
Tytus Maksymilian Huber
August Dupré
John Amos Comenius
Jan Baptist van Helmont
Nizam al-Mulk
Abbé Faria
Lazare Carnot
Nasir al-Din al-Tusi
Heinrich Rantzau
Royal Rife
Nikolay Kamov
Semyon Lavochkin
William Bates
Alfred Nobel
Francesco Redi
Alberto Santos-Dumont
Vladimir Shukhov
Melvil Dewey
Sámuel Mikoviny
Edward Vermilye Huntington
Gyula Kőnig
Ludwik Fleck
František Křižík
Aleksey Severtsov
Frank Malina
Guglielmo Marconi
John Fisher
John Fisher
Nikolai Pirogov
Hugh H. Young
Thomas Corneille
