name
Gustaf de Laval
Nicholas Mercator
Holger Thiele
Pierre Charles Le Monnier
Edmond Laguerre
William Astbury
Benjamin Robins
Jean-Étienne Montucla
Alexander Friedmann
Christian Goldbach
Paul-Émile Lecoq de Boisbaudran
Józef Kosacki
T. Keith Glennan
Francesco Faà di Bruno
Per Teodor Cleve
Pierre Varignon
John Wilkins
Galileo Galilei
Stamen Grigorov
Joseph-Nicolas Delisle
Thomas Addison
Frank Rattray Lillie
Edward Augustus Bond
Delfino Codazzi
Daniel Elmer Salmon
Joseph Liouville
Abraham Flexner
Joseph Wharton
Paweł Strzelecki
Song Ci
Johann Bernoulli
Hiram Bingham III
Antonio Sánchez de Bustamante y Sirven
Alexandre-Théophile Vandermonde
Philipp Ludwig von Seidel
Leonardo da Vinci
Alexei Fedchenko
Thomas Addis
Fausto Veranzio
Charles Willson Peale
Nevil Maskelyne
Bruno Pontecorvo
Gaspard de Prony
Nikolai Kibalchich
Arvo Ylppö
Julius Petersen
Axel Fredrik Cronstedt
Leonhard Euler
Horace Wells
Horace Wells
Thomas Adams
John Gorrie
Andrzej Frycz Modrzewski
John Locke
Viktor Makeyev
Émile Coué
Thomas Sprat
Étienne-Jules Marey
Hunayn ibn Ishaq
'Adud al-Dawla
Orville Wright
Isaac Beeckman
Gleb Kotelnikov
Frans van Schooten
Tytus Maksymilian Huber
John Amos Comenius
Jan Baptist van Helmont
Nizam al-Mulk
Abbé Faria
Lazare Carnot
Nasir al-Din al-Tusi
Royal Rife
Semyon Lavochkin
Alfred Nobel
Francesco Redi
Alberto Santos-Dumont
Melvil Dewey
Sámuel Mikoviny
Gyula Kőnig
Ludwik Fleck
František Křižík
Guglielmo Marconi
John Fisher
John Fisher
Hugh H. Young
Thomas Corneille
Telford Taylor
Ernst Öpik
Edward Waring
Francis Bacon
Konstantin Tsiolkovsky
George Lillie Craik
Paul Dirac
Faizi
"George Campbell, 8th Duke of Argyll"
Hieronymus Georg Zeuthen
James Rhyne Killian
J. Allen Hynek
John Aubrey
Edward Stone
Gösta Mittag-Leffler
Hans Geiger
Christian Thomasius
Max Kramer
Achirimbi II
Mikhail Lomonosov
Max Born
Hermann Hankel
Otto von Guericke
Leo Kanner
Gaspar Schott
Hans Berger
Gotthold Eisenstein
Kurt Tank
Peter Andreas Hansen
Jeremias Benjamin Richter
Bian Que
Max Factor
Richard Kirwan
Carl Størmer
Buckminster Fuller
Edmond Frémy
Pierre Adet
Edward Lawry Norton
Phoebus Levene
Fritz Müller
Heike Kamerlingh Onnes
Peter Debye
William Scoresby
Léon Teisserenc de Bort
Alfred Blalock
John Howard Northrop
O. E. H. Wucherer
Paul Peter Ewald
Wolfgang Abendroth
Abu al-Hasan al-Tabari
George Griffith
Burhan-ud-din Kermani
Muhammad ibn Yusuf al-Harawi
Tadeusz Reichstein
Charles Blagden
Cornelius Lanczos
Calvin Bridges
Friedrich Tietjen
Leopold Zunz
Johann Philipp Reis
Benjamin Constant
Vladimir Smirnov
Max Noether
Justinus Kerner
Rudolf Lipschitz
Hans Jenny
John Ambrose Fleming
Charles Étienne Louis Camus
Miqdad ibn Aswad
Camillo Golgi
Roman Jakobson
Carl Remigius Fresenius
Warner T. Koiter
Andrija Štampar
Martin Heinrich Klaproth
Jaroslav Heyrovský
Sergei Korolev
Theodore von Kármán
Louis Bertrand Castel
Abdelkader El Djezairi
Norbert Wiener
Leon Battista Alberti
Niels Ryberg Finsen
Sebastian Ziani de Ferranti
Hidetsugu Yagi
James Whitbread Lee Glaisher
Gian Francesco Malfatti
Heinz Pagels
Thomas O. Paine
William Stimpson
Reginald Aldworth Daly
Albert Howard
Henry Faulds
Ali ibn Sahl Rabban al-Tabari
Harold Stephen Black
James Croll
Arthur Emmons Raymond
Alexander McAulay
Alfred Lee Loomis
Alfred Matthew Hubbard
Kamal Stino
John R. Philip
John Harris
Lagâri Hasan Çelebi
Joseph Tykociński-Tykociner
Konstantin Frank
Kurt Freund
Stefan Drzewiecki
Konstantin Konstantinov
Charles Sumner Tainter
Leopoldo Marco Antonio Caldani
Sidney Farber
Ron Wyatt
Paul Bouts
Pierre Charles Alexandre Louis
William Lyon Phelps
Geoffrey Vickers
Geoffrey Vickers
Benjamin Feingold
Benjamin A. Botkin
Arthur Koehler
Bartholomew Price
Magnus Pyke
Mieczysław G. Bekker
Lyman Hall
William Frederick Durand
Chauncey Jerome
Charles Tomlinson
John Ernst Worrell Keely
Robert W. Paul
Omond Solandt
Otto Boeddicker
Ahmad al-Tifashi
D. M. Turner
John Mudge
Fritz Köberle
Gastão Rosenfeld
George Fisher
Francis William Bourdillon
Peter Faber
Norbert Rillieux
Pedro Luiz Napoleão Chernoviz
Joaquín Acosta
William Allen
William Allen
Émile Girardeau
Maurício Rocha e Silva
Harry Grindell Matthews
Henry Doubleday
Muqim Arzani
Giovanni Battista Brocchi
Edward Haskell
Al-Juwayni
Elias Alsabti
Petrus Särkilahti
